interview_stage,Описание,Примеры вопросов,Что проверяют
fit_hr,"Короткий первичный скрининг: общая адекватность, опыт, цели, мотивация, совпадение роли и ожиданий кандидата. ","“Почему ищете работу?”, “Что важно в следующей роли?”, “Ожидания по формату/компенсации?”","адекватность коммуникации, реалистичность ожиданий, мотивацию, риск раннего mismatch"
technical_qna,"Тех-интервью в формате вопрос-ответ, без полноценного coding/system design","“Что такое GIL?”, “LEFT vs INNER JOIN?”, “Какую метрику выбрать?”, “Когда A/B тест не подходит?”","базовые знания, глубину понимания, причинно-следственное объяснение, trade-offs"
technical_case,Открытый прикладной кейс с бизнес-контекстом (без обязательного написания кода),"“Просел conversion — как диагностировать?”, “Как оценишь эффект фичи?”, “Что делать при data quality issue?”","продуктовое/аналитическое мышление, структурность, приоритизацию, работу с неопределенностью"
technical_coding,"Решение coding-задачи: алгоритм, SQL, код под наблюдением","live coding, LeetCode-тип задачи, SQL query writing","корректность решения, алгоритмическое мышление, чистота кода, тест-кейсы, debugging-подход"
system_design,Проектирование системы/архитектуры высокого уровня,"“Спроектируй рекомендательную систему”, “Сервис логов”, “Real-time pipeline”","декомпозицию, архитектурные решения, масштабирование, надежность, обоснование компромиссов"
behavioral,"Интервью про опыт, поведение в рабочих ситуациях, стиль взаимодействия","“Конфликт в команде”, “Ошибка и что сделал”, “Сложная ситуация с дедлайном”","коммуникацию, ownership, leadership, stakeholder management, зрелость рефлексии"
manager_round,Финальная проверка взаимного fit с будущим менеджером/командой.,"“Какой стиль менеджмента тебе подходит?”, “Что ожидаешь от роли через 6–12 мес?”","совместимость стилей работы, ожидания по росту, риск конфликтов, общий hire/no-hire fit"
,,,
,,,,,,,"Scope, Contribution, Impact, Difficulty"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
topic_tag,Описание,Примеры вопросов,
SQL,"Запросы к БД, JOIN, агрегации, оконные функции, оптимизация SQL-запросов.","Чем LEFT JOIN отличается от INNER JOIN?; ""Как найти retention по неделям в SQL?""; ""Когда использовать оконные функции?""",
Python,Практическое владение Python для анализа данных и автоматизации.,"Как работает list comprehension?; ""В чем разница между list и tuple?""; ""Как бы ты обработал пропуски в pandas?""",
Statistics,Базовая статистика и вероятностное мышление для анализа и выводов.,"Что такое доверительный интервал?; ""Когда использовать медиану вместо среднего?""; ""Как объяснить p-value простыми словами?""",
Experimentation,"Постановка и анализ экспериментов (A/B тесты, дизайн, риски, интерпретация).","Как бы ты спроектировал A/B тест для новой фичи?; ""Когда A/B тест запускать нельзя?""; ""Что делать при противоречивых результатах?""",
Product Metrics,"Выбор и интерпретация продуктовых метрик, связь метрик с бизнес-целью.","Какие метрики важны для onboarding?; ""Как выбрать north-star metric?""; ""Почему метрика выросла, но бизнес-эффект неочевиден?""",
Data Modeling,"Структура данных, схемы таблиц, связи сущностей, качество и удобство аналитики.","Как бы ты спроектировал таблицы событий?; ""Когда нужна схема звезда?""; ""Как избежать дублирования и несогласованности данных?""",
Communication,"Ясность, структура ответа, умение объяснять сложное простым языком и слушать.","Объясни нетехническому менеджеру, почему метрика просела; ""Как ты сообщаешь о рисках?""; ""Как действуешь, если тебя не поняли?""",
Leadership,"Ведение людей/инициатив, принятие решений в неопределенности, влияние на результат.","Расскажи о случае, когда ты повел(а) команду через сложную задачу; ""Как принимаешь непопулярные решения?""; ""Как развиваешь коллег?""",
Collaboration,Эффективная совместная работа в команде и между функциями.,"Как выстраивал(а) работу с разработчиками/продуктом?; ""Как делили ответственность в проекте?""; ""Пример успешной кросс-функциональной работы""",
Adaptability,"Способность быстро адаптироваться к изменениям требований, контекста, инструментов.","Расскажи о ситуации, когда требования резко изменились; ""Как входишь в новый домен?""; ""Как действуешь при высокой неопределенности?""",
